"codigo_linha","nome_linha","categoria","cor","apenas_cartao","geojson"
"464","A. MUNHOZ / J. BOTÂNICO","CONVENCIONAL","AMARELA","S","{""type"":""MultiLineString"",""coordinates"":[[[-49.2475921501957,-25.4440318644977],[-49.2463807304893,-25.4444614889767],[-49.2453839967387,-25.4448039533585],[-49.2439464161853,-25.4438651530649],[-49.2426407743296,-25.4442744439709],[-49.2423900178605,-25.4437085443025],[-49.2436959332129,-25.4432687714942],[-49.2431246311961,-25.4418269683237],[-49.2441517406117,-25.4414734017653],[-49.2438583429488,-25.4407575848153],[-49.2432912477574,-25.4409413873101],[-49.2429890044964,-25.4401991685355],[-49.2458972993633,-25.4392038781213],[-49.2479819221257,-25.4400080840346],[-49.2489829768905,-25.4378871077043],[-49.2507610798918,-25.4385663241663],[-49.2596386693114,-25.4419583624793],[-49.2610395377825,-25.4373020730682],[-49.2621657492864,-25.4363405252503],[-49.2651705269808,-25.4296054777033],[-49.27138197172,-25.4321924834657],[-49.2722841918285,-25.4304159895308],[-49.2711716456482,-25.4300789534617],[-49.2710435874777,-25.4281952967525],[-49.2730600946626,-25.4287862964662],[-49.2743259745367,-25.4286379547558],[-49.2750738782519,-25.4288810644096],[-49.2779399266891,-25.4298198776858],[-49.2808867392218,-25.4307997123932],[-49.2831355134727,-25.4316158511468],[-49.2864203668617,-25.4246226527938],[-49.2912733865406,-25.4265339861906],[-49.2922177136744,-25.4245894395341],[-49.2921532590227,-25.4244822606912],[-49.2941991365158,-25.4200389042416],[-49.2993610797894,-25.4188827632299]]]}"
"311","ARAGUAIA","ALIMENTADOR","LARANJA","F","{""type"":""MultiLineString"",""coordinates"":[[[-49.2062281739686,-25.435582779081],[-49.2058795991533,-25.4349001136907],[-49.2052853513761,-25.4331959045091],[-49.2037137066591,-25.4338597376397],[-49.2034708734096,-25.4341344766349],[-49.2057904294578,-25.4385132459076],[-49.2106710687941,-25.4363436045715],[-49.2111650771814,-25.4372482661975],[-49.2112432704005,-25.4375625935407],[-49.2126957363044,-25.4402583697531],[-49.2190799937186,-25.4374350234973],[-49.2200952368061,-25.4393951703605],[-49.2215485448614,-25.4387414318619],[-49.2217641273122,-25.4391449720894],[-49.2219609502127,-25.4390558095604],[-49.2223117277532,-25.4397154609337],[-49.2215385353306,-25.4400579335053]]]}"
"823","AUGUSTA","ALIMENTADOR","LARANJA","S","{""type"":""MultiLineString"",""coordinates"":[[[-49.3540308127138,-25.4630877502411],[-49.3538577264306,-25.4633309234208],[-49.3529218021804,-25.4629212339861],[-49.3528065583872,-25.4611831053463],[-49.3520260476076,-25.4608034560963],[-49.3525012844881,-25.4600726996712],[-49.3486232509923,-25.4580128621302],[-49.348448995521,-25.4575116614653],[-49.3495466064082,-25.4573517373999],[-49.3506018463416,-25.4570853170396],[-49.3517355018078,-25.456516766519],[-49.3525113976458,-25.4555086413354],[-49.3533609737984,-25.4529304866739],[-49.3536128456853,-25.4520142630647],[-49.3567874135976,-25.4528519076277],[-49.3577335797044,-25.4531485314117],[-49.3586092813044,-25.4515220619663],[-49.3578867824351,-25.4515544950623],[-49.355622450545,-25.4508420291011],[-49.3535402321184,-25.4502014042885],[-49.3536174977959,-25.4481236404053],[-49.3544267464711,-25.4468292579341],[-49.3542517877624,-25.4456777547747],[-49.3537519886928,-25.4444158025662],[-49.3524308326725,-25.4427935355184],[-49.3510971522549,-25.4421271388719],[-49.3499918005062,-25.4417889399964],[-49.3485694027615,-25.4416773970536],[-49.3485689272699,-25.4416543733168],[-49.347935502915,-25.4417493532178],[-49.3477323951872,-25.4416296519196],[-49.3475030581304,-25.4414931423354],[-49.3472994717093,-25.4414659659633],[-49.346010403737,-25.4414507374919],[-49.3459034457327,-25.4414115135885],[-49.3458467650479,-25.4415182811568],[-49.346060102426,-25.4415911233954],[-49.3466914132557,-25.4415948484576]]]}"
"361","AUGUSTO STRESSER","CONVENCIONAL","AMARELA","S","{""type"":""MultiLineString"",""coordinates"":[[[-49.2667042112867,-25.4284530585777],[-49.2672364325719,-25.4286685111129],[-49.2679954654601,-25.428720689457],[-49.2682413180125,-25.4265393692851],[-49.2653395066108,-25.4270634247596],[-49.2596954814064,-25.4248268649753],[-49.2613737774575,-25.4211682081887],[-49.2598871083948,-25.4199052739218],[-49.2588022185191,-25.4174951595606],[-49.258235021593,-25.4162063033648],[-49.2563554747062,-25.415933841129],[-49.2549473919458,-25.4169500241362],[-49.2538637471177,-25.4169623573413],[-49.2408595981967,-25.4180603684535],[-49.2416165626924,-25.4169915919235],[-49.2416609131825,-25.4163005605512],[-49.241010897939,-25.4142580390013],[-49.2391021527755,-25.4126767506585],[-49.2376415274495,-25.4113495557098],[-49.2383907657134,-25.41039793394],[-49.2367342924817,-25.4093525557219],[-49.232503514596,-25.4146067793017],[-49.2224127817142,-25.4104290862055],[-49.2227320256812,-25.4097996834102],[-49.2227084116458,-25.4090767845026],[-49.2212712221032,-25.4092914004469],[-49.2212245518949,-25.4052610410317],[-49.2208863327842,-25.4048268140315],[-49.2196887915748,-25.4042453211772],[-49.2192688535084,-25.4035098953666],[-49.2193432100189,-25.4028460455396],[-49.2198286955155,-25.4020503170784],[-49.2196242950773,-25.4007916913018],[-49.2200326076525,-25.4002076694783],[-49.2206345851788,-25.3998223113488],[-49.2208472958163,-25.3991704786671],[-49.2189312076396,-25.3986374847612],[-49.2175662147313,-25.398254434954],[-49.2162745541079,-25.3962640231822],[-49.2175662147313,-25.398254434954],[-49.2189312076396,-25.3986374847612],[-49.2208472958163,-25.3991704786671],[-49.2206345851788,-25.3998223113488],[-49.2200326076525,-25.4002076694783],[-49.2196242950773,-25.4007916913018],[-49.2198286955155,-25.4020503170784],[-49.2193432100189,-25.4028460455396],[-49.2192688535084,-25.4035098953666],[-49.2196887915748,-25.4042453211772],[-49.2208863327842,-25.4048268140315],[-49.2212245518949,-25.4052610410317],[-49.2212712221032,-25.4092914004469]]]}"
"506","BAIRRO NOVO","LINHA DIRETA","PRATA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2506766331177,-25.5530850909432],[-49.258946350951,-25.5486136368781],[-49.2724536245099,-25.5412761532173],[-49.2710646253133,-25.5407516889466],[-49.2731373887933,-25.5363213506971],[-49.2693377977427,-25.5350258146257],[-49.269510433471,-25.5346589596709],[-49.2689829186447,-25.5345438030708],[-49.2687550341299,-25.5346998187616],[-49.2671681338092,-25.534288132837],[-49.2668943974962,-25.5341696609261],[-49.2665011442537,-25.5338626926309],[-49.2664130768141,-25.5337475986391],[-49.2675433064953,-25.5312671253577],[-49.2676256070824,-25.5310700013714],[-49.2690977185829,-25.5275382864915],[-49.2680343786992,-25.5271342483435],[-49.2671893841359,-25.526559518514],[-49.2681588930537,-25.5253620902064],[-49.2702406131033,-25.5227907607649],[-49.2729228784691,-25.5210446750522],[-49.2722657725714,-25.5202523577844],[-49.2717388363111,-25.5185184482447],[-49.2835581873583,-25.510656666994],[-49.2821108650121,-25.5088083323184],[-49.2860341031011,-25.5061845664696],[-49.2857142155966,-25.5057905710953],[-49.2844576590274,-25.5066224322695],[-49.2588220192602,-25.4748979118876],[-49.2583582398007,-25.4758998413064],[-49.2573104486124,-25.4754752083812],[-49.257698689412,-25.4746594009675],[-49.2620504678938,-25.4718153112411],[-49.262522536753,-25.4703127876357],[-49.2627282823384,-25.4703863740039],[-49.2640952481335,-25.4674709894462],[-49.2641288901429,-25.466254559192],[-49.2685272255369,-25.4578989585406],[-49.2690432222381,-25.4571914713582],[-49.2679115862708,-25.4561579257353],[-49.2654583627279,-25.45392323143],[-49.2736281942232,-25.4370161020615],[-49.2715223452617,-25.4361681405022],[-49.2713199070754,-25.4365784625635]]]}"
"541","BAIRRO NOVO A","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2480063377539,-25.5432711470527],[-49.2492762587511,-25.5404721605417],[-49.2514666716381,-25.5420029414401],[-49.2524961282252,-25.5397390805477],[-49.2573518518684,-25.5428364692074],[-49.2588816515052,-25.545024920555],[-49.2681966210518,-25.5398389054503],[-49.2701327686324,-25.5354892533932],[-49.2692831719128,-25.5351981308956],[-49.2688815048432,-25.5350630512835],[-49.2686761997671,-25.5349886691704],[-49.2688408123019,-25.5346053529092],[-49.2688016151355,-25.5345028048168],[-49.2677751280045,-25.5342543429603]]]}"
"542","BAIRRO NOVO B","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2677751280045,-25.5342543429603],[-49.2688016151355,-25.5345028048168],[-49.2688408123019,-25.5346053529092],[-49.2686761997671,-25.5349886691704],[-49.2688815048432,-25.5350630512835],[-49.2692831719128,-25.5351981308956],[-49.2728559788279,-25.5364440372925],[-49.2700714882387,-25.542343298007],[-49.2588452564663,-25.5484402605699],[-49.2606256667687,-25.5506631542107],[-49.2615169192173,-25.5501727949227],[-49.2628823704697,-25.5518568825696],[-49.2657114887024,-25.5502312756315],[-49.2667027205691,-25.5514525046827],[-49.2670513776908,-25.5512623761179]]]}"
"547","BAIRRO NOVO C","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2536239813876,-25.5338701423035],[-49.2526044131515,-25.53482550106],[-49.2560473372333,-25.5371122028929],[-49.2542383095498,-25.5383048672257],[-49.2570474531668,-25.5401907521106],[-49.2610170829439,-25.5377435979942],[-49.2644728767074,-25.5419124283431],[-49.2681966210518,-25.5398389054503],[-49.2701327686324,-25.5354892533932],[-49.2688815048432,-25.5350630512835],[-49.2686761997671,-25.5349886691704],[-49.2687253859373,-25.5348742467452],[-49.2688408123019,-25.5346053529092],[-49.2688016151355,-25.5345028048168],[-49.2677751280045,-25.5342543429603],[-49.2671867267325,-25.5341173207912],[-49.2671000469248,-25.5340321328085],[-49.2670837632908,-25.5340168401556],[-49.2670141043628,-25.5339647865216],[-49.2668840715254,-25.533942720414],[-49.2665953966161,-25.5341010196688],[-49.266326283341,-25.5340117974711],[-49.2663047524298,-25.5340606649531],[-49.2642268983513,-25.5333877892492],[-49.2633832554759,-25.5351320947662],[-49.2579785610816,-25.5333106455917],[-49.2571661833885,-25.5353227244389],[-49.2541671724614,-25.5333566310844],[-49.2536239813876,-25.5338701423035]]]}"
"342","B. ALTO / BOA VISTA","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2410222917371,-25.3932847861225],[-49.2407059303345,-25.3935258631516],[-49.2409782376359,-25.3938150814576],[-49.2399014078678,-25.3946487245523],[-49.2370667064495,-25.3983162978457],[-49.2359750094606,-25.3975952952691],[-49.2352759027064,-25.3984601317559],[-49.2277358816615,-25.393525711597],[-49.2265679627327,-25.3927850925796],[-49.2237992226527,-25.3909589313401],[-49.2228910097887,-25.3903741530647],[-49.2230499008859,-25.3886715875792],[-49.2228591031056,-25.3882837176319],[-49.2221834337014,-25.3880079422816],[-49.2202450051371,-25.3878432600118],[-49.2192624703167,-25.3872738471505],[-49.2185499212955,-25.3872800830712],[-49.2170987804796,-25.3869838132052],[-49.2149679498258,-25.3874745724684],[-49.2121786907617,-25.3881418924228],[-49.2084512424424,-25.3884846694005],[-49.2073049201553,-25.3873591184837],[-49.2083637144489,-25.3867282469506],[-49.2094898704561,-25.3879393800728],[-49.2084512424424,-25.3884846694005],[-49.2062408622684,-25.3885015879528],[-49.2052990466059,-25.3883624967732],[-49.204718702842,-25.3887646105327],[-49.2022938356914,-25.3888238669289],[-49.2019471817406,-25.3889911644359],[-49.2023137026069,-25.3891681350872],[-49.2042656797522,-25.3891298666079],[-49.2033920221729,-25.3897130793844],[-49.2045096925239,-25.391526584202],[-49.2007268782919,-25.3994882188797],[-49.2017991073299,-25.399902896032],[-49.199335781536,-25.4052194227066],[-49.1980717938861,-25.4078770846712],[-49.2002392947923,-25.4087315794838],[-49.2069169800931,-25.4113159393276],[-49.2063591762825,-25.4124807216088],[-49.2062816340197,-25.4124506531814],[-49.2057652460595,-25.413502674493],[-49.2056364299053,-25.4132460437903],[-49.2053141061892,-25.4131176351473]]]}"
"341","B. ALTO / STA. CÂNDIDA","ALIMENTADOR","LARANJA","N","{""type"":""MultiLineString"",""coordinates"":[[[-49.2053141061892,-25.4131176351473],[-49.2056364299053,-25.4132460437903],[-49.2057652460595,-25.413502674493],[-49.205584786717,-25.4138623127307],[-49.2044271214941,-25.4133886816384],[-49.2044583332867,-25.4133169329498],[-49.2033036933423,-25.4128583629963],[-49.2025906276479,-25.4143419218586],[-49.1983876267717,-25.4126701420176],[-49.2002392947923,-25.4087315794838],[-49.196980229509,-25.4074508619121],[-49.1976009248334,-25.4060965494389],[-49.1950928979577,-25.4051037646233],[-49.1950515429105,-25.4035445164184],[-49.1960394905937,-25.4038981775613],[-49.1985275185327,-25.3986330718216],[-49.2060155586946,-25.4015439085129],[-49.2084931646577,-25.3962297153054],[-49.2065031188918,-25.3954366770558],[-49.2071534787174,-25.394147492515],[-49.20387132431,-25.3928629057415],[-49.2045096925239,-25.391526584202],[-49.2033660297508,-25.389664051828],[-49.2036552135508,-25.3895315033086],[-49.2040751274137,-25.3892653759137],[-49.2040901767256,-25.3891382792078],[-49.2039973396315,-25.3890402064447],[-49.20361503827,-25.3890151198525],[-49.2015294149843,-25.3890846876323],[-49.2013913746989,-25.3889458823839],[-49.2013930808693,-25.3888307682738],[-49.201503997469,-25.3887214821848],[-49.2023108544901,-25.3887017272077],[-49.2029329106948,-25.3886824867882],[-49.2048949470228,-25.3886145734529],[-49.2062953233855,-25.3885718147953],[-49.2066542704988,-25.3885537870901],[-49.2070849524748,-25.3885364980725],[-49.2075201349494,-25.3884576693272],[-49.2081511262892,-25.3882497479578],[-49.2087249901409,-25.3880023912043],[-49.211660148633,-25.3864173645731],[-49.212664508633,-25.3858977234827],[-49.2170447304619,-25.3838545899429],[-49.2175938850464,-25.3834962231113],[-49.2179227939308,-25.3831694578233],[-49.2181932705807,-25.3828269742273],[-49.2184821914499,-25.3822644643612],[-49.2187893444449,-25.3814508564203],[-49.2200268010235,-25.3782116668332],[-49.2201726891472,-25.3779104955437],[-49.2203780872219,-25.3775975403296],[-49.2205912942672,-25.3773585539498],[-49.2208461488249,-25.3771437838825],[-49.2211945657126,-25.3769309673288],[-49.2216196638966,-25.3767533831459],[-49.222038661291,-25.3766790025993],[-49.2231169117073,-25.3767480892771],[-49.2246373315362,-25.3767658823536],[-49.224877542004,-25.3767074688036],[-49.2249879704853,-25.3766795383689],[-49.2250373452191,-25.3767346032207],[-49.225117591928,-25.3768184399355],[-49.225018942585,-25.3770236623216],[-49.2248638269312,-25.3770214551307],[-49.2247013787031,-25.376879306801],[-49.2241939957334,-25.3768706621506]]]}"
